"All-perovskite tandem solar cells with improved grain surface passivation
All-perovskite tandem solar cells unite low-cost solution processing with the prospect of high efficiency  8  Despite this promise, the certified power conversion efficiency (PCE) of all-perovskite tandem solar cells has yet to surpass that of single-junction perovskite solar cells (PSCs) (which have a highest certified PCE of 25.5%)  9  , a limitation that is dominated by the low photocurrent density (below 16 mA cm -2 ) seen in all-perovskite tandem solar cells to date  4, [10] [11] [12] [13]  ",https://doi.org/10.1038/s41586-021-04372-8,Perovskite,25.5,None,1,1,0
"All-perovskite tandem solar cells with improved grain surface passivation
Compared with control devices, Pb-Sn PSCs with passivating agents showed improved performance across all PV parametersAmong the three passivators investigated here, CF3-PA resulted in the best performance values of open-circuit voltage (V oc ), short-circuit current density (J sc ), fill factor (FF) and thus PCE",https://doi.org/10.1038/s41586-021-04372-8,Pb-Sn,None,None,1,0,0
"All-perovskite tandem solar cells with improved grain surface passivation
 2c By contrast, the J sc values of the control devices did not exhibit an increase when the thickness was increased from 900 to 1,200 nm, whereas the V oc and FF values (and thus PCE) dropped considerably with thickness beyond 900 nm (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8,None,None,None,0,0,0
"All-perovskite tandem solar cells with improved grain surface passivation
By adding CF3-PA, we increased the diffusion length to achieve higher J sc , V oc and FF valuesWe fabricated more than 200 CF3-PA mixed Pb-Sn PSCs with 1.2-μm-thick absorber; a histogram of their PCE values is shown in the inset of Fig",https://doi.org/10.1038/s41586-021-04372-8,CF3-PA mixed Pb-Sn PSCs,None,None,0,0,0
"All-perovskite tandem solar cells with improved grain surface passivation
 2d The devices exhibited an average PCE of 20.8 ± 0.5%, which is a narrow distribution compared with typical Pb-Sn perovskite statistics",https://doi.org/10.1038/s41586-021-04372-8,perovskite,20.8,%,1,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
The devices exhibited an average PCE of 20.8 ± 0.5%, which is a narrow distribution compared with typical Pb-Sn perovskite statisticsThe best CF3-PA device showed a PCE of 22.2% (stabilized 22.0%), with a V oc of 0.841 V, a J sc of 33.0 mA cm -2 and a FF of 80% under reverse scan (Fig",https://doi.org/10.1038/s41586-021-04372-8,All-perovskite,20.8 ± 0.5,%,0,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
The devices exhibited an average PCE of 20.8 ± 0.5%, which is a narrow distribution compared with typical Pb-Sn perovskite statisticsThe best CF3-PA device showed a PCE of 22.2% (stabilized 22.0%), with a V oc of 0.841 V, a J sc of 33.0 mA cm -2 and a FF of 80% under reverse scan (Fig",https://doi.org/10.1038/s41586-021-04372-8,CF3-PA,22.2,%,1,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
The devices exhibited an average PCE of 20.8 ± 0.5%, which is a narrow distribution compared with typical Pb-Sn perovskite statisticsThe best CF3-PA device showed a PCE of 22.2% (stabilized 22.0%), with a V oc of 0.841 V, a J sc of 33.0 mA cm -2 and a FF of 80% under reverse scan (Fig",https://doi.org/10.1038/s41586-021-04372-8,CF3-PA (stabilized),22.0,%,1,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
Performance and stability of tandem solar cells We fabricated monolithic all-perovskite tandem solar cells using the optimized NBG perovskite layers described above (see details in the Methods)The WBG solar cells exhibited a PCE of 17.3%, with a V oc of 1.22 V, a J sc of 17.4 mA cm -2 and a FF of 81.6% (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8,perovskite,17.3,%,1,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
The J sc values, as determined from the J-V curves, were increased from 15.4 to 16.5 mA cm -2 when the thickness of the NBG perovskite absorber increased from 750 to 1,200 nm (the WBG perovskite thickness was kept at approximately 380 nm)Correspondingly, the PCE was increased from 25.0% for the 750-nm-thick NBG subcell to 26.4% for the 1.2-μm-thick NBG subcell",https://doi.org/10.1038/s41586-021-04372-8,NBG,25.0,%,1,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
The J sc values, as determined from the J-V curves, were increased from 15.4 to 16.5 mA cm -2 when the thickness of the NBG perovskite absorber increased from 750 to 1,200 nm (the WBG perovskite thickness was kept at approximately 380 nm)Correspondingly, the PCE was increased from 25.0% for the 750-nm-thick NBG subcell to 26.4% for the 1.2-μm-thick NBG subcell",https://doi.org/10.1038/s41586-021-04372-8,NBG,26.4,%,0,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
 15 We fabricated 96 all-perovskite tandem solar cells (with aperture area of 0.049 cm 2 ) with 1.2-μm-thick NBG subcells; the devices had an average PCE of 25.6 ± 0.5% (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8,perovskite,25.6,%,1,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
g, Continuous MPP tracking of the encapsulated CF3-PA and control tandem solar cells (with aperture area of 0.049 cm 2 ) under simulated 1 Sun illumination (equivalent to AM1.5G, 100 mW cm -2 , multicolor LED simulator) in ambient air with a humidity of 30-50%The CF3-PA and control tandem devices had initial PCEs of 25.6% and 24.3% measured under a two-lamp simulator, respectively",https://doi.org/10.1038/s41586-021-04372-8,CF3-PA,25.6,%,1,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
g, Continuous MPP tracking of the encapsulated CF3-PA and control tandem solar cells (with aperture area of 0.049 cm 2 ) under simulated 1 Sun illumination (equivalent to AM1.5G, 100 mW cm -2 , multicolor LED simulator) in ambient air with a humidity of 30-50%The CF3-PA and control tandem devices had initial PCEs of 25.6% and 24.3% measured under a two-lamp simulator, respectively",https://doi.org/10.1038/s41586-021-04372-8,Control,24.3,%,1,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
There was no active cooling during device operation and the environmental temperature was kept at approximately 25 o CT 90 represents the lifetime at which the PCE declines to 90% of its initial value.",https://doi.org/10.1038/s41586-021-04372-8,None,None,None,0,0,0
"All-perovskite tandem solar cells with improved grain surface passivation
T 90 represents the lifetime at which the PCE declines to 90% of its initial value.Article The best tandem cell had a PCE of 26.7% from the reverse scan (with a V oc of 2.03 V, a J sc of 16.5 mA cm -2 and a FF of 79.9%) and exhibited a stabilized PCE of 26.6% (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8,All-perovskite tandem,26.7,%,0,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
T 90 represents the lifetime at which the PCE declines to 90% of its initial value.Article The best tandem cell had a PCE of 26.7% from the reverse scan (with a V oc of 2.03 V, a J sc of 16.5 mA cm -2 and a FF of 79.9%) and exhibited a stabilized PCE of 26.6% (Extended Data Fig",https://doi.org/10.1038/s41586-021-04372-8,All-perovskite tandem,26.6,%,0,1,1
"All-perovskite tandem solar cells with improved grain surface passivation
The J sc achieved (≥16.5 mA cm -2 ) was considerably higher than those reported in previous works (typically <16 mA cm -2 )  12, 13, 38  , mainly because of the use of thicker NBG perovskite without sacrificing the electrical performance (that is, V oc and FF) with the use of CF3-PA additiveWe also fabricated tandem cells with larger area; our best-performing large-area device (aperture area = 1.05 cm 2 ) exhibited a PCE of 25.3% with a V oc of 2.03 V, a J sc of 16 mA cm -2 and a FF of 78% (Fig",https://doi.org/10.1038/s41586-021-04372-8,perovskite,25.3,%,1,1,1
