system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

All-perovskite tandem solar cells hold the promise of surpassing the efficiency limits of single-junction solar cells  [1] [2] [3]  ; however, until now, the best-performing all-perovskite tandem solar cells have exhibited lower certified efficiency than have single-junction perovskite solar cells  4, 5  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

A thick mixed Pb-Sn narrow-bandgap subcell is needed to achieve high photocurrent density in tandem solar cells 6 , yet this is challenging owing to the short carrier diffusion length within Pb-Sn perovskites"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Here we develop ammonium-cation-passivated Pb-Sn perovskites with long diffusion lengths, enabling subcells that have an absorber thickness of approximately 1.2 μm"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Molecular dynamics simulations indicate that widely used phenethylammonium cations are only partially adsorbed on the surface defective sites at perovskite crystallization temperatures"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

The passivator adsorption is predicted to be enhanced using 4-trifluoromethyl-phenylammonium (CF3-PA), which exhibits a stronger perovskite surface-passivator interaction than does phenethylammonium"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

By adding a small amount of CF3-PA into the precursor solution, we increase the carrier diffusion length within Pb-Sn perovskites twofold, to over 5 μm, and increase the efficiency of Pb-Sn perovskite solar cells to over 22%"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

We report a certified efficiency of 26.4% in all-perovskite tandem solar cells, which exceeds that of the best-performing single-junction perovskite solar cells"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Encapsulated tandem devices retain more than 90% of their initial performance after 600 h of operation at the maximum power point under 1 Sun illumination in ambient conditions."
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Metal-halide perovskites are emerging photovoltaic (PV) materials that are suitable for tandem solar cell applications: their bandgaps can be tuned from approximately 1.2 eV to 3.0 eV through compositional engineering  2  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

An all-perovskite tandem solar cell is constructed by stacking a mixed bromide/iodide wide-bandgap (WBG, approximately 1.8 eV) perovskite front cell and a mixed lead-tin (Pb-Sn) narrow-bandgap (NBG, approximately 1.2 eV) perovskite back cell  4, 7  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

All-perovskite tandem solar cells unite low-cost solution processing with the prospect of high efficiency  8  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Considering the current-matching condition, high photocurrent densities will require a Pb-Sn perovskite active layer more than 1 μm thick in the bottom subcell (Extended Data Fig"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

 1 )"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

However, efficient (>20%) Pb-Sn PSCs have so far only been demonstrated using an active-layer thickness of less than 1 μm (refs"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

 6, 10, 11, [13] [14] [15]  )"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

We reason that this is due to the short carrier diffusion length of polycrystalline Pb-Sn perovskite thin films: the carrier diffusion length should be several times the absorber thickness to ensure sufficient charge transport and good PV performance in PSCs  16, 17  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Grain surface passivation is a promising route to increase the carrier diffusion length of perovskite films  13, 18  , given that grain surfaces (film surface and grain boundaries) exhibit a trap density one to several orders of magnitude higher than that within the grain  [19] [20] [21] [22]  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Two-dimensional (2D) perovskites, Lewis bases/acids  23  and zwitterions  10  have been used for the passivation of Pb-Sn perovskites, all of which are approaches that address deep traps and reduce Sn 2+ oxidation  [24] [25] [26]  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

However, until now, the absorber thickness of grain-surface-passivated Pb-Sn PSCs has been limited to less than 1 μm in optimized devices  10, 11, 15, 27  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

This we attribute to insufficient defect passivation: a certain amount of surface area remains unpassivated, due to the incomplete adsorption of passivating agent into the defective sites during film formation  28  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

We posit that enhancing the adsorption of passivating agents during perovskite film formation-in effect, increasing the completeness of the coverage using passivators, ensuring that they fully interact with the defective sites on the grain surfaces-could further improve passivation and thus increase the diffusion length in thick Pb-Sn perovskite films"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

This will enable thicker absorber layers in Pb-Sn PSCs and thus higher matched photocurrent densities in all-perovskite tandem solar cells"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

We note that this requires further progress to be made in the rational molecular design of passivators"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Previous works have designed passivating molecules based on a static picture of the interaction between passivators and perovskite surfaces  29  ; here we instead explore the dynamic process of passivator adsorption on grain surfaces using ab initio molecular dynamic simulations, an approach that guided our experimental design."
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Density functional theory studies Here we investigated the passivation capability of ammonium cations for mixed Pb-Sn perovskite surfaces  [30] [31] [32]  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

Three aromatic ammonium cations, phenethylammonium (PEA), phenylammonium (PA) and 4-trifluoromethyl-phenylammonium (CF3-PA), were selected to study how the molecular properties influence the adsorption and binding on mixed Pb-Sn perovskite surfaces (Fig"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

 1a )"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

The electrostatic potentials (φ max ) at the -NH 3 + side are different for the three passivators: φ max,PEA < φ max,PA < φ max,CF3-PA (Fig"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

 1a )"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

We posited that this electrostatic potential difference could affect the surface adsorption of ammonium cations  33  "
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

We carried out density functional theory (DFT) simulations to study the surface adsorption and defect passivation for the three ammonium cations (see details in the Methods)"
assistant,No
system,
user,"Answer ""Yes"" or ""No"" only. Does the following text contain a value of PCE?

As illustrated in Fig"
assistant,No
system,
